project_name,project_url
tinky-winkey,60814
C Piscine C 00,69103
C Piscine C 01,62020
C Piscine C 02,73451
C Piscine C 03,73461
C Piscine C 04,73471
C Piscine C 05,62027
C Piscine C 06,73481
C Piscine C 07,73491
C Piscine C 08,73545
C Piscine C 09,73500
C Piscine C 10,73508
C Piscine C 11,73518
C Piscine C 12,78034
C Piscine C 13,78026
C Piscine Shell 00,75338
C Piscine Shell 01,69090
ft_transcendence,81875
42run,60855
42SEOUL_TEST,23840
42sh,60887
abstract-vm,55987
Apprentissage 1 an,51496
Apprentissage 2 ans - 1ère année,51504
Apprentissage 2 ans - 2ème année,51512
avaj-launcher,81766
Bgp At Doors of Autonomous Systems is Simple,68564
bomberman,61525
boot2root,75162
Born2beroot,82246
camagru,72690
Cinema,68033
cloud-1,81767
computorv1,67770
computorv2,60848
corewar,60869
Cow-Neck-TID,31601
CPP Module 00,82228
CPP Module 01,82232
CPP Module 02,82236
CPP Module 03,82240
CPP Module 04,79097
CPP Module 05,81249
CPP Module 06,81749
CPP Module 07,81752
CPP Module 08,81755
CPP Module 09,79936
cub3d,78383
darkly,75351
death,60180
doom-nukem,65500
drivers-and-interrupts,60901
dr-quine,62899
dslr,60816
expert-system,72131
famine,79560
FdF,82254
filesystem,60895
fix-me,60880
fract-ol,75307
freddie-mercury,55961
ft_ality,60883
ft_containers,68022
ft_hangouts,60916
ft_irc,83370
ft_kalman,60863
ft_linear_regression,75301
ft_linux,75347
ft_ls,61383
ft_malcolm,62792
ft_minecraft,63954
ft_newton,60852
ft_nmap,69396
ft_ping,75302
ft_printf,59216
ft_script,56858
ft_select,55951
ft_server,55804
ft_services,36177
ft_shield,60810
ft_ssl_des,68566
ft_ssl_md5,60475
ft_ssl_rsa,60808
ft_traceroute,65904
ft_turing,62357
ft_vox,60859
FWA,68032
gbmu,60892
get_next_line,82248
gomoku,68748
guimp,60889
h42n42,83108
humangl,60884
hypertube,81771
Inception,81759
Inception-of-Things,66725
Internship I,72569
Internship II,15393
in-the-shadows,60851
kfs-1,60900
kfs-2,64575
kfs-3,64576
kfs-4,64577
kfs-5,64578
kfs-6,60894
kfs-7,60904
kfs-8,60902
kfs-9,60898
kfs-x,78392
krpsim,60875
lem_in,67419
lem-ipc,60878
libasm,75352
Libft,75323
little-penguin-1,60896
malloc,82513
matcha,72688
matrix,66255
matt-daemon,60873
MessageQueue,68036
MicroServices,68035
miniRT,81762
minishell,68660
minitalk,75319
ML Module 00,54998
ML Module 01,54999
ML Module 02,55000
ML Module 03,55001
ML Module 04,66258
mod1,60868
multilayer-perceptron,60846
music-room,72692
NetPractice,82257
nibbler,60850
nm,81765
n-puzzle,70110
Old-IRC,24329
Old-Philosophers,35366
Open Project,53778
override,81772
particle-system,60885
Part_Time I,71487
Part_Time II,33903
pestilence,60801
Philosophers,67985
pipex,67971
Piscine Django,72854
Piscine Java,22226
Piscine RoR,72851
Piscine Symfony,72852
process-and-memory,60911
push_swap,75312
Python Module 00,54993
Python Module 01,54994
Python Module 02,54995
Python Module 03,54996
Python Module 04,54997
rainfall,66683
ready set boole,68855
red-tetris,72691
Restful,68034
rt,60860
rubik,63960
scop,60886
shaderpixel,60862
snow-crash,67418
so_long,82251
SpringBoot,68031
Startup Internship,72570
strace,65612
swifty-companion,66599
swifty-proteins,60915
swingy,60879
taskmaster,60882
total-perspective-vortex,83234
userspace_digressions,60912
war,60803
webserv,83371
woody-woodpacker,79590
xv,60856
zappy,66459
Django - 0 - Initiation,59657
Django - 0 - Oob,64989
Django - 0 - Starting,59659
Django - 1 - Base Django,64993
Django - 1 - Lib,64991
Django - 2 - SQL,59667
Django - 3 - Advanced,68609
Django - 3 - Final,64997
Django - 3 - Sessions,64995
RoR - 0 - Initiation,59695
RoR - 0 - Oob,59699
RoR - 0 - Starting,65497
RoR - 1 - Base Rails,59703
RoR - 1 - Gems,59701
RoR - 2 - SQL,59705
RoR - 3 - Advanced,62658
RoR - 3 - Final,59711
RoR - 3 - Sessions,59707
Symfony - 0 - Initiation,66661
Symfony - 0 - Oob,66667
Symfony - 0 - Starting,65673
Symfony - 1 - Base Symfony,66401
Symfony - 1 - Composer,59683
Symfony - 2 - SQL,66419
Symfony - 3 - Advanced,66669
Symfony - 3 - Final,66671
Symfony - 3 - Sessions,66372
Internship I: internship I - Contract Upload,45180
Internship I: Internship I - Duration,30775
Internship I: internship I - Company Mid Evaluation,83085
Internship I: internship I - Company Final Evaluation,83088
Internship I: Internship I - Peer Video,28382
Internship II: internship II - Contract Upload,7768
Internship II: Internship II - Duration,33959
Internship II: Internship II - Company Mid Evaluation,83093
Internship II: Internship II - Company Final Evaluation,83091
Internship II: Internship II - Peer Video,33963
Part_Time I: Part_Time I - Contract Upload,71485
Part_Time I: Part_Time I - Duration,34192
Part_Time I: Part_Time I Company Mid Evaluation,11966
Part_Time I: Part_Time I Company Final Evaluation,11958
Part_Time I: Part_Time I Peer Video,8089
Part_Time II: Part_Time II - Contract Upload,7745
Part_Time II: Part_Time II - Duration,34048
Part_Time II: Part_Time II - Company Mid Evaluation,11964
Part_Time II: Part_Time II - Company Final Evaluation,11956
Part_Time II: Part_Time II - Peer Video,8091
[Event]April_2023,81425
Apprentissage 1 an: Contract Upload,15527
Apprentissage 1 an: Apprentissage 1 an - 1,28473
Apprentissage 1 an: Apprentissage 1 an - 2,35219
Apprentissage 1 an: Apprentissage 1 an - 3,31729
Apprentissage 1 an: Apprentissage 1 an - 4,32030
Apprentissage 1 an: Apprentissage 1 an - Begin evaluation,37029
Apprentissage 1 an: Apprentissage 1 an - Final evaluation,15531
Apprentissage 2 ans - 1ère année: Contract Upload,15124
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 1,29059
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 2,23602
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 3,32805
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 4,27655
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - Begin evaluation,37031
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - Annual Evaluation,37033
Apprentissage 2 ans - 2ème année: Contract Upload,15511
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 1,19446
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 2,33293
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 3,19450
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 4,33044
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - Mid evaluation,37037
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - Final evaluation,15515
[DEPRECATED] Piscine Swift iOS: Day 00,23849
[DEPRECATED] Piscine Swift iOS: Day 01,23851
[DEPRECATED] Piscine Swift iOS: Day 02,23853
[DEPRECATED] Piscine Swift iOS: Day 03,23865
[DEPRECATED] Piscine Swift iOS: Day 04,23855
[DEPRECATED] Piscine Swift iOS: Day 05,23859
[DEPRECATED] Piscine Swift iOS: Day 06,23857
[DEPRECATED] Piscine Swift iOS: Day 07,23863
[DEPRECATED] Piscine Swift iOS: Day 08,23861
[DEPRECATED] Piscine Swift iOS: Day 09,23867
Open Project: Open Project - Define your Subject,82242
Open Project: Open Project - Complete the project,82244
Piscine Java:Piscine Java,22226
Rushes: Hotrace,66673
Rushes: AlCu,65613
Rushes: Wong kar Wai,65618
Rushes: yasl,65619
Rushes: wordle,65621
Rushes: Connect4,52025
Rushes: Retro-MFA,56421
Rushes: ft_shmup,58705
Startup Internship: Startup Internship - Contract Upload,30740
Startup Internship: Startup Internship - Duration,30741
Startup Internship: Startup Internship - Tutor Mid Evaluation,30742
Startup Internship: Startup Internship - Tutor Final Evaluation,30745
Startup Internship: Startup Internship - Peer Video,30748
Mobile,83243
Mobile - 0 - Basic of the mobile application,82814
Mobile - 1 - Structure and logic,83054
Mobile - 2 - API and data,83055
Mobile - 3 - Design,83056
Mobile - 4 - Auth and dataBase,83057
Mobile - 5 - Manage data and display,83058
Python - 0 - Starting,82031
Python - 1 - Array,82032
Python - 2 - DataTable,82033
Python - 3 - OOP,82034
Python - 4 - Dod,82035
Python for Data Science,70141
Unity,83343
Unity - 0 - The basics Unity tools,82805
Unity - 1 - 3D physics, Tags, Layers and Scene,82806
Unity - 2 - 2D environment, tiles and sprites,82807
Unity - 3 - Advanced inputs and 2D GUI,82809
Unity - 4 - Animations and Sound,82810
Unity - 5 - Singleton, playerPrefs and coroutines,82811
Unity - 6 - Navmesh, light, sound and camera,82813
